text,label,label_name
Regulators approve new industry-standard for data security to protect consumer privacy.,2,Business
NFL season kickoff sets stage for thrilling games,1,Sports
Global economy hits record high as international trade continues to boom,0,World
LeBron James leads Lakers to comeback victory over Celtics.,1,Sports
Tiger Woods makes shocking comeback at Masters Tournament after 2-year injury hiatus,1,Sports
Tech giant announces major investment in sustainable agriculture practices.,2,Business
Global food prices surge due to droughts and conflicts in major producing countries,0,World
A growing trend of sustainable investing may change the face of traditional finance.,2,Business
Retail stocks plummet as consumers switch to online shopping.,2,Business
COP26 conference to focus on global response to climate crisis,0,World
NBA Star's Record-Breaking Performance Sparks Debat,1,Sports
Small business owners call for government support as economic uncertainty continues to rise.,2,Business
Global Trade Deal Fails to Pass in US Congress,2,Business
World's Biggest Banks Launch Blockchain Venture,2,Business
US Open 2022: Carlos Alcaraz wins historic men's singles title in New York,1,Sports
Banking Industry Faces Regulatory Scrutiny Amid Rising Interest Rates,2,Business
UN Holds Emergency Meeting to Address Rising Global Inequality,0,World
Global chip shortage causes widespread disruptions to tech industry.,3,Sci/Tech
E-commerce Giant Acquires Minority Stake in Fashion Brand,2,Business
New study reveals surprising link between certain types of bacteria and improved cognitive function in older adults,3,Sci/Tech
NASA’s Perseverance rover discovers evidence of ancient lake on Mars.,3,Sci/Tech
Global health experts sound alarm over rising cases of antibiotic-resistant diseases worldwide,0,World
Kobe Bryant's legacy lives on through daughter Natalia's growing basketball skills,1,Sports
New robotic arm technology allows for more precise surgery with less blood loss,3,Sci/Tech
Manchester City signs winger to boost Champions League hopes,1,Sports
Scientists discover new species of ancient human in remote jungle region,3,Sci/Tech
"Global poverty rates decline for first time in decades, says World Bank report",0,World
Scientists develop new method for producing clean energy from seawater,3,Sci/Tech
Stock market fluctuations ease as investors predict steady growth,2,Business
Scientists create new type of superconductor that can conduct electricity with zero resistance.,3,Sci/Tech
"Tropical storm hits Caribbean islands, leaves thousands without power",0,World
Tennis great becomes oldest player to win Grand Slam singles title in history,1,Sports
Major upset in tennis tournament as underdog wins against top-seeded player,1,Sports
NBA All-Star Game features electrifying performance by 3-point shooting star,1,Sports
Scientists develop new material that can convert sunlight into electricity,3,Sci/Tech
Pittsburgh Steelers Sign 5-Time Pro Bowl Wide Receiver to 3-Year Deal,1,Sports
New Research Uncovers Hidden Benefits of Investing in Renewable Energy Sources,2,Business
Global Food Prices Reach Historic Highs Amidst Climate Change and Conflict,0,World
NFL Draft Pick Has High Hopes for Rookie Season,1,Sports
Stock market sees significant drop due to economic uncertainty,2,Business
New regulations aimed at boosting startup growth and innovation take effect across major economies.,2,Business
UNICEF launches emergency appeal for Rohingya refugees fleeing Myanmar,0,World
New study finds link between long-term marijuana use and reduced risk of certain cancers.,3,Sci/Tech
Global food prices surge due to droughts and conflict in key producing regions,0,World
Breakthrough in Quantum Computing Aims to Solve Complex Problems,3,Sci/Tech
International Olympic Committee sets date for Tokyo Olympics despite COVID-19 concerns,0,World
Formula One racing returns to the United States after 20-year absence,1,Sports
Cleveland Cavaliers hire Kevin Love as executive vice president of basketball operations,1,Sports
UN Security Council to discuss North Korea missile tensions for the first time,0,World
Protests erupt in Iran as government announces new economic measures,0,World
Super Bowl MVP odds shift as quarterback controversies rock NFL teams,1,Sports
